p p_est sigG sigG_est
0.01 0.00616 0.0001 7.844e-05
0.01 0.005569 0.001 0.0006715
0.01 0.002724 0.0001 9.636e-05
0.01 0.004147 0.001 0.0007542
0.01 0.01307 0.0001 2.721e-05
0.01 0.008652 0.001 0.0003587
0.01 0.001655 0.0001 0.0003052
0.01 0.009802 0.001 0.0006361
0.01 0.001578 0.0001 0.0001428
0.01 0.005027 0.001 0.0007409
0.01 0.001843 0.0001 0.0001232
0.01 0.006015 0.001 0.0006544
0.01 0.001168 0.0001 0.0002239
0.01 0.003573 0.001 0.0009211
0.01 0.003297 0.0001 0.0001087
0.01 0.00474 0.001 0.0009303
0.01 0.01014 0.0001 4.972e-05
0.01 0.009642 0.001 0.0004874
0.01 0.0078 0.0001 6.681e-05
0.01 0.007154 0.001 0.0006748
0.01 0.002765 0.0001 0.0001303
0.01 0.003719 0.001 0.001149
0.01 0.004424 0.0001 0.0001117
0.01 0.006846 0.001 0.0009273
0.01 0.0005491 0.0001 0.0002202
0.01 0.003578 0.001 0.0007591
0.01 0.00288 0.0001 9.536e-05
0.01 0.006055 0.001 0.0007238
0.01 0.001726 0.0001 0.0001052
0.01 0.007883 0.001 0.0005256
0.01 0.00122 0.0001 0.0002701
0.01 0.005566 0.001 0.0007852
0.01 0.003049 0.0001 0.0001215
0.01 0.00852 0.001 0.0004714
0.01 0.0003013 0.0001 0.0002311
0.01 0.004459 0.001 0.0004213
0.01 0.002907 0.0001 0.0001568
0.01 0.006652 0.001 0.0007394
0.01 0.0003664 0.0001 0.0006358
0.01 0.002623 0.001 0.001184
0.01 0.001494 0.0001 7.088e-05
0.01 0.004296 0.001 0.0004273
0.01 0.001484 0.0001 0.0002488
0.01 0.003842 0.001 0.0009376
0.01 0.002068 0.0001 0.0001811
0.01 0.004938 0.001 0.0008736
0.01 0.0008428 0.0001 0.0002065
0.01 0.004119 0.001 0.0007361
0.01 0.002361 0.0001 0.0001637
0.01 0.0043 0.001 0.0009606
0.01 0.002481 0.0001 0.0002429
0.01 0.006964 0.001 0.0008226
0.01 0.005406 0.0001 0.0001586
0.01 0.007716 0.001 0.0008788
0.01 0.003929 0.0001 0.000165
0.01 0.005841 0.001 0.001178
0.01 0.002237 0.0001 0.0001706
0.01 0.00606 0.001 0.0008036
0.01 0.001845 0.0001 0.0002469
0.01 0.006327 0.001 0.0007675
0.01 0.0004667 0.0001 0.0003045
0.01 0.002636 0.001 0.0009233
0.01 0.001051 0.0001 0.0002009
0.01 0.003187 0.001 0.0008547
0.01 0.001465 0.0001 0.0001709
0.01 0.007093 0.001 0.0005094
0.01 0.0008549 0.0001 0.0001014
0.01 0.004262 0.001 0.0004819
0.01 0.005752 0.0001 0.0001702
0.01 0.008668 0.001 0.001022
0.01 0.0001412 0.0001 0.0004795
0.01 0.002647 0.001 0.0006996
0.01 0.004763 0.0001 0.0001242
0.01 0.006151 0.001 0.001031
0.01 0.001698 0.0001 0.0001246
0.01 0.009075 0.001 0.0004498
0.01 0.005488 0.0001 0.0001254
0.01 0.007884 0.001 0.0008476
0.01 0.004784 0.0001 9.606e-05
0.01 0.009747 0.001 0.0004527
0.01 0.001006 0.0001 0.0001757
0.01 0.00318 0.001 0.0006903
0.01 0.001795 0.0001 0.0001752
0.01 0.00481 0.001 0.0007229
0.01 0.002557 0.0001 0.0001612
0.01 0.005538 0.001 0.0008336
0.01 0.002327 0.0001 0.0001583
0.01 0.005212 0.001 0.000821
0.01 0.00152 0.0001 0.0001489
0.01 0.003892 0.001 0.0006476
0.01 0.0008617 0.0001 0.0001358
0.01 0.00423 0.001 0.0006929
0.01 0.001625 0.0001 0.0001665
0.01 0.00632 0.001 0.0006021
0.01 0.002218 0.0001 0.0001006
0.01 0.004199 0.001 0.0007125
0.01 0.000729 0.0001 0.0001956
0.01 0.002437 0.001 0.0009305
0.01 0.001074 0.0001 0.0002875
0.01 0.0031 0.001 0.001008
0.01 0.002206 0.0001 0.0001801
0.01 0.006023 0.001 0.0008939
0.01 0.0008372 0.0001 0.0001896
0.01 0.002804 0.001 0.0007943
0.01 0.003927 0.0001 0.0001155
0.01 0.008524 0.001 0.0006761
0.01 0.00251 0.0001 0.00016
0.01 0.004546 0.001 0.0009644
0.01 0.003603 0.0001 8.007e-05
0.01 0.00495 0.001 0.0006811
0.01 0.003315 0.0001 8.311e-05
0.01 0.006668 0.001 0.0005956
0.01 0.002255 0.0001 8.908e-05
0.01 0.006994 0.001 0.0004457
0.01 0.002266 0.0001 0.0001946
0.01 0.007884 0.001 0.0006346
0.01 0.004176 0.0001 8.98e-05
0.01 0.008271 0.001 0.0005949
0.01 0.002598 0.0001 8.41e-05
0.01 0.005405 0.001 0.0005927
0.01 0.001434 0.0001 0.0001201
0.01 0.002788 0.001 0.0008642
0.01 0.0007859 0.0001 0.0003769
0.01 0.005143 0.001 0.0008656
0.01 0.002179 0.0001 0.000201
0.01 0.008116 0.001 0.0005676
0.01 0.005566 0.0001 7.313e-05
0.01 0.007674 0.001 0.0006037
0.01 0.005283 0.0001 0.0001669
0.01 0.007304 0.001 0.001079
0.01 0.005246 0.0001 4.223e-05
0.01 0.007626 0.001 0.0004221
0.01 0.004364 0.0001 0.0001134
0.01 0.006657 0.001 0.0007463
0.01 0.006651 0.0001 8.603e-05
0.01 0.009464 0.001 0.0006129
0.01 0.003581 0.0001 0.0001378
0.01 0.006887 0.001 0.0007823
0.01 0.0067 0.0001 5.725e-05
0.01 0.005927 0.001 0.0006395
0.01 0.001371 0.0001 0.0002636
0.01 0.003816 0.001 0.0008764
0.01 0.00237 0.0001 0.0002477
0.01 0.005231 0.001 0.001166
0.01 0.004474 0.0001 0.0001208
0.01 0.005294 0.001 0.0008864
0.01 0.00227 0.0001 0.0001977
