p p_est sigG sigG_est
0.01 0.1305 0.0001 0.0002353
0.01 0.1012 0.001 0.0003548
0.01 0.1144 0.0001 0.0002695
0.01 0.0835 0.001 0.0004419
0.01 0.1128 0.0001 0.0002724
0.01 0.0913 0.001 0.0003926
0.01 0.1307 0.0001 0.0002405
0.01 0.0826 0.001 0.0004751
0.01 0.1137 0.0001 0.0002733
0.01 0.0931 0.001 0.0004003
0.01 0.1339 0.0001 0.0002337
0.01 0.0961 0.001 0.0004004
0.01 0.1221 0.0001 0.0002509
0.01 0.0932 0.001 0.0003718
0.01 0.1269 0.0001 0.0002451
0.01 0.0947 0.001 0.0003786
0.01 0.1110 0.0001 0.0002726
0.01 0.0811 0.001 0.0004539
0.01 0.1326 0.0001 0.000235
0.01 0.0938 0.001 0.00039
0.01 0.1213 0.0001 0.0002537
0.01 0.0919 0.001 0.0003823
0.01 0.1083 0.0001 0.0002853
0.01 0.0734 0.001 0.0005225
0.01 0.1199 0.0001 0.000259
0.01 0.0873 0.001 0.0004213
0.01 0.1155 0.0001 0.0002661
0.01 0.0769 0.001 0.000503
0.01 0.1205 0.0001 0.0002574
0.01 0.0936 0.001 0.0003976
0.01 0.1383 0.0001 0.0002271
0.01 0.0938 0.001 0.0003988
0.01 0.1202 0.0001 0.0002606
0.01 0.0872 0.001 0.0004196
0.01 0.1214 0.0001 0.0002504
0.01 0.0982 0.001 0.0003529
0.01 0.1273 0.0001 0.0002425
0.01 0.0817 0.001 0.0004172
0.01 0.1182 0.0001 0.0002667
0.01 0.0992 0.001 0.0003758
0.01 0.1131 0.0001 0.000273
0.01 0.0898 0.001 0.0003875
0.01 0.1153 0.0001 0.0002693
0.01 0.0961 0.001 0.0003902
0.01 0.1129 0.0001 0.0002767
0.01 0.0714 0.001 0.0005373
0.01 0.1172 0.0001 0.0002632
0.01 0.0786 0.001 0.0004415
0.01 0.1321 0.0001 0.0002333
0.01 0.0983 0.001 0.0003763
0.01 0.1059 0.0001 0.0002905
0.01 0.0982 0.001 0.0003813
0.01 0.1077 0.0001 0.0002896
0.01 0.0785 0.001 0.0004906
0.01 0.1200 0.0001 0.0002601
0.01 0.0695 0.001 0.0005802
0.01 0.1306 0.0001 0.0002387
0.01 0.0984 0.001 0.0003845
0.01 0.1082 0.0001 0.0002893
0.01 0.0736 0.001 0.0005176
0.01 0.1288 0.0001 0.0002376
0.01 0.1068 0.001 0.0003284
0.01 0.1326 0.0001 0.0002353
0.01 0.0990 0.001 0.0003733
0.01 0.1104 0.0001 0.0002822
0.01 0.0822 0.001 0.0004631
0.01 0.1276 0.0001 0.0002441
0.01 0.0940 0.001 0.0003853
0.01 0.1104 0.0001 0.0002824
0.01 0.0753 0.001 0.0005189
0.01 0.1273 0.0001 0.0002431
0.01 0.1010 0.001 0.0003498
0.01 0.1183 0.0001 0.0002636
0.01 0.0757 0.001 0.0005371
0.01 0.1212 0.0001 0.0002562
0.01 0.0751 0.001 0.000483
0.01 0.1064 0.0001 0.0002895
0.01 0.0803 0.001 0.0004835
0.01 0.1057 0.0001 0.0002959
0.01 0.0683 0.001 0.0005437
0.01 0.1202 0.0001 0.0002551
0.01 0.0949 0.001 0.0003617
0.01 0.1111 0.0001 0.0002768
0.01 0.0991 0.001 0.0003584
0.01 0.1169 0.0001 0.0002651
0.01 0.0892 0.001 0.0004097
0.01 0.1256 0.0001 0.0002472
0.01 0.1024 0.001 0.000357
0.01 0.1173 0.0001 0.0002581
0.01 0.0970 0.001 0.0003534
0.01 0.1226 0.0001 0.0002571
