p p_est sigG sigG_est N ld varyH
0.005 0.0043 0.001 0.001 100000 0 0
0.005 0.0040 0.001 0.001 100000 0 0
0.005 0.0037 0.001 0.001 100000 0 0
0.005 0.0064 0.001 0.001 100000 0 0
0.005 0.0038 0.001 0.001 100000 0 0
0.005 0.0057 0.001 0.001 100000 0 0
0.005 0.0040 0.001 0.001 100000 0 0
0.005 0.0040 0.001 0.001 100000 0 0
0.005 0.0058 0.001 0.001 100000 0 0
0.005 0.0061 0.001 0.001 100000 0 0
0.005 0.0054 0.001 0.001 100000 0 0
0.005 0.0051 0.001 0.001 100000 0 0
0.005 0.0037 0.001 0.001 100000 0 0
0.005 0.0062 0.001 0.001 100000 0 0
0.005 0.0047 0.001 0.001 100000 0 0
0.005 0.0067 0.001 0.001 100000 0 0
0.005 0.0051 0.001 0.001 100000 0 0
0.005 0.0045 0.001 0.001 100000 0 0
0.005 0.0040 0.001 0.001 100000 0 0
0.005 0.0062 0.001 0.001 100000 0 0
0.005 0.0037 0.001 0.001 100000 0 0
0.005 0.0052 0.001 0.001 100000 0 0
0.005 0.0052 0.001 0.001 100000 0 0
0.005 0.0033 0.001 0.001 100000 0 0
0.005 0.0047 0.001 0.001 100000 0 0
0.005 0.0056 0.001 0.001 100000 0 0
0.005 0.0061 0.001 0.001 100000 0 0
0.005 0.0067 0.001 0.001 100000 0 0
0.005 0.0061 0.001 0.001 100000 0 0
0.005 0.0048 0.001 0.001 100000 0 0
0.005 0.0041 0.001 0.001 100000 0 0
0.005 0.0059 0.001 0.001 100000 0 0
0.005 0.0060 0.001 0.001 100000 0 0
0.005 0.0034 0.001 0.001 100000 0 0
0.005 0.0050 0.001 0.001 100000 0 0
0.005 0.0052 0.001 0.001 100000 0 0
0.005 0.0054 0.001 0.001 100000 0 0
0.005 0.0051 0.001 0.001 100000 0 0
0.005 0.0047 0.001 0.001 100000 0 0
0.005 0.0053 0.001 0.001 100000 0 0
0.005 0.0041 0.001 0.001 100000 0 0
0.005 0.0046 0.001 0.001 100000 0 0
0.005 0.0051 0.001 0.001 100000 0 0
0.005 0.0052 0.001 0.001 100000 0 0
0.005 0.0049 0.001 0.001 100000 0 0
0.005 0.0049 0.001 0.001 100000 0 0
0.005 0.0037 0.001 0.001 100000 0 0
0.005 0.0045 0.001 0.001 100000 0 0
0.005 0.0045 0.001 0.001 100000 0 0
0.005 0.0037 0.001 0.001 100000 0 0
0.005 0.0054 0.001 0.001 100000 0 0
0.005 0.0037 0.001 0.001 100000 0 0
0.005 0.0046 0.001 0.001 100000 0 0
0.005 0.0035 0.001 0.001 100000 0 0
0.005 0.0045 0.001 0.001 100000 0 0
0.005 0.0046 0.001 0.001 100000 0 0
0.005 0.0055 0.001 0.001 100000 0 0
0.005 0.0056 0.001 0.001 100000 0 0
0.005 0.0053 0.001 0.001 100000 0 0
0.005 0.0046 0.001 0.001 100000 0 0
0.005 0.0051 0.001 0.001 100000 0 0
0.005 0.0047 0.001 0.001 100000 0 0
0.005 0.0049 0.001 0.001 100000 0 0
0.005 0.0062 0.001 0.001 100000 0 0
0.005 0.0050 0.001 0.001 100000 0 0
0.005 0.0040 0.001 0.001 100000 0 0
0.005 0.0050 0.001 0.001 100000 0 0
0.005 0.0050 0.001 0.001 100000 0 0
0.005 0.0042 0.001 0.001 100000 0 0
0.005 0.0059 0.001 0.001 100000 0 0
0.005 0.0054 0.001 0.001 100000 0 0
0.005 0.0045 0.001 0.001 100000 0 0
0.005 0.0044 0.001 0.001 100000 0 0
0.005 0.0043 0.001 0.001 100000 0 0
0.005 0.0051 0.001 0.001 100000 0 0
0.005 0.0058 0.001 0.001 100000 0 0
0.005 0.0045 0.001 0.001 100000 0 0
0.005 0.0067 0.001 0.001 100000 0 0
0.005 0.0058 0.001 0.001 100000 0 0
0.005 0.0046 0.001 0.001 100000 0 0
0.005 0.0048 0.001 0.001 100000 0 0
0.005 0.0053 0.001 0.001 100000 0 0
0.005 0.0052 0.001 0.001 100000 0 0
0.005 0.0053 0.001 0.001 100000 0 0
0.005 0.0056 0.001 0.001 100000 0 0
0.005 0.0061 0.001 0.001 100000 0 0
0.005 0.0048 0.001 0.001 100000 0 0
0.005 0.0053 0.001 0.001 100000 0 0
0.005 0.0078 0.001 0.001 100000 0 0
0.005 0.0035 0.001 0.001 100000 0 0
0.005 0.0061 0.001 0.001 100000 0 0
0.005 0.0037 0.001 0.001 100000 0 0
0.005 0.0063 0.001 0.001 100000 0 0
0.005 0.0049 0.001 0.001 100000 0 0
0.005 0.0038 0.001 0.001 100000 0 0
0.005 0.0046 0.001 0.001 100000 0 0
0.005 0.0053 0.001 0.001 100000 0 0
0.005 0.0075 0.001 0.001 100000 0 0
0.005 0.0051 0.001 0.001 100000 0 0
0.005 0.0060 0.001 0.001 100000 0 0
0.01 0.0091 0.001 0.001 100000 0 0
0.01 0.0084 0.001 0.001 100000 0 0
0.01 0.0085 0.001 0.001 100000 0 0
0.01 0.0121 0.001 0.001 100000 0 0
0.01 0.0091 0.001 0.001 100000 0 0
0.01 0.0114 0.001 0.001 100000 0 0
0.01 0.0082 0.001 0.001 100000 0 0
0.01 0.0097 0.001 0.001 100000 0 0
0.01 0.0102 0.001 0.001 100000 0 0
0.01 0.0109 0.001 0.001 100000 0 0
0.01 0.0083 0.001 0.001 100000 0 0
0.01 0.0101 0.001 0.001 100000 0 0
0.01 0.0083 0.001 0.001 100000 0 0
0.01 0.0123 0.001 0.001 100000 0 0
0.01 0.0100 0.001 0.001 100000 0 0
0.01 0.0118 0.001 0.001 100000 0 0
0.01 0.0098 0.001 0.001 100000 0 0
